  2    2   0  4.7418901  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.970349730
           1  'B  '    9853.62370169200     
           2  'N  '    12766.3260662741     
    1    1      0.0000000000      0.5773502692      3.9851748648
    2    2      0.5000000000      0.2886751346      3.9851748648
 T
          1.627164291400          0.000000000000          0.000000000000
          0.000000000000          1.627164291393          0.000000000000
          0.000000000000          0.000000000000          1.103712267781
    1
      2.7050956      0.0000000      0.0000000
      0.0000000      2.7050956      0.0000000
      0.0000000      0.0000000      0.2300446
    2
     -2.7050956      0.0000000      0.0000000
      0.0000000     -2.7050956      0.0000000
      0.0000000      0.0000000     -0.2300446
  10  10   1
   1   1   1   1
   1   1   1   1.04691524063E+00  -2.10005672265E-02
   2   1   1  -3.66689485199E-02  -5.16532937759E-02
   3   1   1   8.01816058132E-04  -1.20712378510E-02
   4   1   1   6.25276496591E-04  -5.30416900075E-03
   5   1   1   2.61877393175E-04  -3.28878680028E-03
   6   1   1   1.28005192995E-04  -2.79320859299E-03
   7   1   1   2.61877393175E-04  -3.28878680028E-03
   8   1   1   6.25276496591E-04  -5.30416900075E-03
   9   1   1   8.01816058132E-04  -1.20712378510E-02
  10   1   1  -3.66689485199E-02  -5.16532937759E-02
   1   2   1   9.20170756542E-03   1.71735801447E-02
   2   2   1   9.20171131454E-03   1.71735763956E-02
   3   2   1  -6.24906057577E-04  -9.52296948292E-03
   4   2   1   3.73859756332E-04  -5.65969005541E-03
   5   2   1   1.35905416740E-04  -3.48086278603E-03
   6   2   1   2.10410755964E-04  -2.65470189523E-03
   7   2   1   2.10412265748E-04  -2.65470340502E-03
   8   2   1   1.35903363977E-04  -3.48086073327E-03
   9   2   1   3.73861140316E-04  -5.65969143940E-03
  10   2   1  -6.24904860162E-04  -9.52297068033E-03
   1   3   1   3.11907794034E-03   2.62634015243E-03
   2   3   1  -7.45699564249E-03   1.08387085493E-02
   3   3   1   3.11907280724E-03   2.62634528553E-03
   4   3   1   5.10976573708E-04  -2.32686498565E-03
   5   3   1   1.57939741383E-04  -2.55928412418E-03
   6   3   1   1.92421383129E-04  -2.15203632060E-03
   7   3   1   2.38046059382E-05  -1.98049798619E-03
   8   3   1   1.92421257329E-04  -2.15203619480E-03
   9   3   1   1.57942448582E-04  -2.55928683138E-03
  10   3   1   5.10970771827E-04  -2.32685918377E-03
   1   4   1   4.30790942771E-04   4.96969647137E-04
   2   4   1  -8.79371684332E-04   3.08683585362E-03
   3   4   1  -8.79364498468E-04   3.08682866776E-03
   4   4   1   4.30789432987E-04   4.96971156921E-04
   5   4   1   2.95697771284E-04  -9.97868672202E-04
   6   4   1   1.21020912999E-04  -1.30915547373E-03
   7   4   1   9.74547181653E-05  -1.27680237767E-03
   8   4   1   9.74560413797E-05  -1.27680370088E-03
   9   4   1   1.21017163882E-04  -1.30915172461E-03
  10   4   1   2.95701394601E-04  -9.97872295519E-04
   1   5   1   1.17684860429E-04  -8.27436531966E-05
   2   5   1  -1.20751415142E-04   7.95137027083E-04
   3   5   1  -3.81518629561E-04   1.32706080981E-03
   4   5   1  -1.20757091223E-04   7.95142703163E-04
   5   5   1   1.17689993529E-04  -8.27487862967E-05
   6   5   1   1.15048475462E-04  -5.25997837988E-04
   7   5   1   4.20638236346E-05  -5.77094640837E-04
   8   5   1   1.61274890071E-05  -5.45647195846E-04
   9   5   1   4.20662495366E-05  -5.77097066739E-04
  10   5   1   1.15048601262E-04  -5.25997963787E-04
   1   6   1   6.21821747077E-05  -2.19942774708E-04
   2   6   1   3.51703698004E-05  -7.04273611371E-05
   3   6   1  -5.30430404275E-05   1.80397831764E-04
   4   6   1  -5.30394171108E-05   1.80394208447E-04
   5   6   1   3.51717537842E-05  -7.04287451209E-05
   6   6   1   6.21776960420E-05  -2.19938296042E-04
   7   6   1   3.51717537842E-05  -7.04287451209E-05
   8   6   1  -5.30394171108E-05   1.80394208447E-04
   9   6   1  -5.30430404275E-05   1.80397831764E-04
  10   6   1   3.51703698004E-05  -7.04273611371E-05
   1   7   1   1.17684860429E-04  -8.27436531966E-05
   2   7   1   1.15048601262E-04  -5.25997963787E-04
   3   7   1   4.20662495366E-05  -5.77097066739E-04
   4   7   1   1.61274890071E-05  -5.45647195846E-04
   5   7   1   4.20638236346E-05  -5.77094640837E-04
   6   7   1   1.15048475462E-04  -5.25997837988E-04
   7   7   1   1.17689993529E-04  -8.27487862967E-05
   8   7   1  -1.20757091223E-04   7.95142703163E-04
   9   7   1  -3.81518629561E-04   1.32706080981E-03
  10   7   1  -1.20751415142E-04   7.95137027083E-04
   1   8   1   4.30790942771E-04   4.96969647137E-04
   2   8   1   2.95701394601E-04  -9.97872295519E-04
   3   8   1   1.21017163882E-04  -1.30915172461E-03
   4   8   1   9.74560413797E-05  -1.27680370088E-03
   5   8   1   9.74547181653E-05  -1.27680237767E-03
   6   8   1   1.21020912999E-04  -1.30915547373E-03
   7   8   1   2.95697771284E-04  -9.97868672202E-04
   8   8   1   4.30789432987E-04   4.96971156921E-04
   9   8   1  -8.79364498468E-04   3.08682866776E-03
  10   8   1  -8.79371684332E-04   3.08683585362E-03
   1   9   1   3.11907794034E-03   2.62634015243E-03
   2   9   1   5.10970771827E-04  -2.32685918377E-03
   3   9   1   1.57942448582E-04  -2.55928683138E-03
   4   9   1   1.92421257329E-04  -2.15203619480E-03
   5   9   1   2.38046059382E-05  -1.98049798619E-03
   6   9   1   1.92421383129E-04  -2.15203632060E-03
   7   9   1   1.57939741383E-04  -2.55928412418E-03
   8   9   1   5.10976573708E-04  -2.32686498565E-03
