  1    2   0  8.1209976  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.041662557
           1  'Bi '    190473.982298499     
    1    1      0.5000000000      0.2886751346      2.3176420796
    2    1      0.0000000000      0.5773502692      2.7240204776
 T
         11.300789777139          0.000000000000          0.000000000000
          0.000000000000         11.300789777229          0.000000000000
          0.000000000000          0.000000000000          1.220294953257
    1
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
    2
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
      0.0000000      0.0000000      0.0000000
   6   6   1
   1   1   1   1
   1   1   1   1.05287894167E-01
   2   1   1  -3.38302333333E-03
   3   1   1   4.85133333333E-05
   4   1   1  -5.05758333333E-05
   5   1   1   4.85133333333E-05
   6   1   1  -3.38302333333E-03
   1   2   1   4.38260000000E-04
   2   2   1   4.38260000000E-04
   3   2   1  -9.23691666667E-05
   4   2   1  -5.71666666666E-07
   5   2   1  -5.71666666666E-07
   6   2   1  -9.23691666667E-05
   1   3   1   3.35418333333E-04
   2   3   1  -2.23330833333E-04
   3   3   1   3.35418333333E-04
   4   3   1  -9.14333333333E-06
   5   3   1  -1.02008333333E-05
   6   3   1  -9.14333333333E-06
   1   4   1   2.35709166667E-04
   2   4   1  -3.70500000000E-05
   3   4   1  -3.70500000000E-05
   4   4   1   2.35709166667E-04
   5   4   1  -3.70500000000E-05
   6   4   1  -3.70500000000E-05
   1   5   1   3.35418333333E-04
   2   5   1  -9.14333333333E-06
   3   5   1  -1.02008333333E-05
   4   5   1  -9.14333333333E-06
   5   5   1   3.35418333333E-04
   6   5   1  -2.23330833333E-04
   1   6   1   4.38260000000E-04
   2   6   1  -9.23691666667E-05
   3   6   1  -5.71666666666E-07
   4   6   1  -5.71666666666E-07
   5   6   1  -9.23691666667E-05
   6   6   1   4.38260000000E-04
   1   1   1   2
   1   1   1  -4.46407216667E-02
   2   1   1  -1.43920110398E-03
   3   1   1  -2.50401410695E-04
   4   1   1  -2.50401666667E-04
   5   1   1  -1.43920025597E-03
   6   1   1  -4.46407205627E-02
   1   2   1  -6.16682141406E-03
   2   2   1   2.51743277918E-04
   3   2   1   6.07635007494E-05
   4   2   1   5.68732124895E-05
   5   2   1   6.07633329644E-05
   6   2   1   2.51743639502E-04
   1   3   1  -1.21424447583E-03
   2   3   1  -1.21424395183E-03
   3   3   1   1.26469911181E-04
   4   3   1   1.23404010322E-05
   5   3   1   1.23410023358E-05
   6   3   1   1.26469988484E-04
   1   4   1  -3.72801666667E-04
   2   4   1   3.05901254513E-05
   3   4   1  -3.72800971362E-04
   4   4   1   4.68850000000E-05
