  2    3   0  6.0182490  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.270560906
           1  'Mo '    87443.9605901702     
           2  'S  '    29226.3710682135     
    1    1      0.0000000000      0.5773502692      3.6352804530
    2    2      0.5000000000      0.2886751346      3.1443707363
    3    2      0.5000000000      0.2886751346      4.1261901697
 T
          4.758801968049          0.000000000000          0.000000000000
          0.000000000000          4.758801968014          0.000000000000
          0.000000000000          0.000000000000          1.219956113404
    1
     -0.9688508      0.0000000      0.0000000
      0.0000000     -0.9688508      0.0000000
      0.0000000      0.0000000     -0.0671303
    2
      0.4844254      0.0000000      0.0000000
      0.0000000      0.4844254      0.0000000
      0.0000000      0.0000000      0.0335652
    3
      0.4844254      0.0000000      0.0000000
      0.0000000      0.4844254      0.0000000
      0.0000000      0.0000000      0.0335652
   8   8   1
   1   1   1   1
   1   1   1   5.04774866392E-01  -8.41406109650E-05
   2   1   1  -2.09800981931E-02  -6.54374760250E-04
   3   1   1  -1.90284898315E-03  -1.83524610602E-04
   4   1   1  -1.77269999585E-04  -1.01329234572E-04
   5   1   1  -1.09988909095E-05  -8.39090778405E-05
   6   1   1  -1.77269999585E-04  -1.01329234572E-04
   7   1   1  -1.90284898315E-03  -1.83524610602E-04
   8   1   1  -2.09800981931E-02  -6.54374760250E-04
   1   2   1  -1.02144448327E-02   2.58480738877E-04
   2   2   1  -1.02144447942E-02   2.58480700422E-04
   3   2   1  -5.94112686590E-04  -1.35580279942E-04
   4   2   1   2.65453653923E-05  -9.88221719183E-05
   5   2   1   2.52321688837E-05  -7.63662238472E-05
   6   2   1   2.52321304283E-05  -7.63661853918E-05
   7   2   1   2.65453813210E-05  -9.88221878471E-05
   8   2   1  -5.94112670661E-04  -1.35580295871E-04
   1   3   1   2.74118471375E-04   3.85360598748E-05
   2   3   1  -4.04624545523E-03   1.60257415991E-04
   3   3   1   2.74118416991E-04   3.85361142590E-05
   4   3   1   8.91107848894E-05  -4.22153161394E-05
   5   3   1  -2.53703534961E-05  -5.13094902539E-05
   6   3   1  -4.04962514015E-06  -4.98288981191E-05
   7   3   1  -2.53702991119E-05  -5.13095446380E-05
   8   3   1   8.91107079786E-05  -4.22152392286E-05
   1   4   1  -2.57013821036E-05   1.58766342949E-06
   2   4   1   2.38219612964E-05   4.09889077296E-05
   3   4   1   2.38220541360E-05   4.09888148901E-05
   4   4   1  -2.57014205590E-05   1.58770188488E-06
   5   4   1   1.24031369898E-05  -1.98406445264E-05
   6   4   1  -2.01530488567E-07  -2.27364404800E-05
   7   4   1  -2.01623328106E-07  -2.27363476404E-05
   8   4   1   1.24031754452E-05  -1.98406829818E-05
   1   5   1   2.75852045604E-05  -6.10817331039E-06
   2   5   1   8.62785238756E-06  -5.45711375556E-08
   3   5   1   2.81940380876E-05   6.21799316244E-06
   4   5   1   8.62777547676E-06  -5.44942267642E-08
   5   5   1   2.75853133287E-05  -6.10828207867E-06
   6   5   1   8.62777547676E-06  -5.44942267642E-08
   7   5   1   2.81940380876E-05   6.21799316244E-06
   8   5   1   8.62785238756E-06  -5.45711375556E-08
   1   6   1  -2.57013821036E-05   1.58766342949E-06
   2   6   1   1.24031754452E-05  -1.98406829818E-05
   3   6   1  -2.01623328106E-07  -2.27363476404E-05
   4   6   1  -2.01530488567E-07  -2.27364404800E-05
   5   6   1   1.24031369898E-05  -1.98406445264E-05
   6   6   1  -2.57014205590E-05   1.58770188488E-06
   7   6   1   2.38220541360E-05   4.09888148901E-05
   8   6   1   2.38219612964E-05   4.09889077296E-05
   1   7   1   2.74118471375E-04   3.85360598748E-05
   2   7   1   8.91107079786E-05  -4.22152392286E-05
   3   7   1  -2.53702991119E-05  -5.13095446380E-05
   4   7   1  -4.04962514015E-06  -4.98288981191E-05
   5   7   1  -2.53703534961E-05  -5.13094902539E-05
   6   7   1   8.91107848894E-05  -4.22153161394E-05
   7   7   1   2.74118416991E-04   3.85361142590E-05
   8   7   1  -4.04624545523E-03   1.60257415991E-04
   1   8   1  -1.02144448327E-02   2.58480738877E-04
   2   8   1  -5.94112670661E-04  -1.35580295871E-04
   3   8   1   2.65453813210E-05  -9.88221878471E-05
   4   8   1   2.52321304283E-05  -7.63661853918E-05
   5   8   1   2.52321688837E-05  -7.63662238472E-05
   6   8   1   2.65453653923E-05  -9.88221719183E-05
   7   8   1  -5.94112686590E-04  -1.35580279942E-04
   8   8   1  -1.02144447942E-02   2.58480700422E-04
   1   1   1   2
   1   1   1  -8.60812113197E-02   4.94710225989E-04
   2   1   1  -8.60812113658E-02   4.94710219808E-04
   3   1   1  -1.52447272759E-03   1.38251633837E-04
   4   1   1  -1.90006007330E-04   6.24657292973E-05
   5   1   1  -4.94661450279E-06   4.32836457528E-05
   6   1   1  -4.94656643926E-06   4.32836498823E-05
   7   1   1  -1.90006194886E-04   6.24657261360E-05
   8   1   1  -1.52447291719E-03   1.38251632728E-04
   1   2   1  -2.19360361260E-04   8.05849412625E-07
   2   2   1   8.87900582532E-03  -2.05427794641E-04
   3   2   1  -2.19360843650E-04   8.05858658706E-07
   4   2   1   9.19399276243E-05   4.40019502153E-05
   5   2   1   1.02601505954E-05   3.69410404667E-05
   6   2   1  -1.07917042683E-05   3.33458427777E-05
   7   2   1   1.02606300843E-05   3.69410341223E-05
   8   2   1   9.19407117530E-05   4.40019612395E-05
   1   3   1  -4.71854742282E-05   2.56281797823E-06
   2   3   1  -1.48840084477E-04  -4.19962606130E-05
   3   3   1  -1.48841380947E-04  -4.19962753030E-05
   4   3   1  -4.71857992876E-05   2.56282261220E-06
   5   3   1  -1.19268418002E-05   1.89691855502E-05
   6   3   1  -1.86921290380E-05   2.04831616282E-05
   7   3   1  -1.86908305165E-05   2.04831742665E-05
   8   3   1  -1.19265146891E-05   1.89691788645E-05
   1   4   1  -6.45510995214E-06   4.37421826059E-06
   2   4   1   1.36802856057E-06  -7.06980015416E-06
   3   4   1   2.84933391985E-05  -1.58252153477E-05
   4   4   1   1.36800183951E-06  -7.06978717466E-06
   5   4   1  -6.45510327223E-06   4.37420195654E-06
   6   4   1  -1.05204597018E-05   7.24354999638E-06
   7   4   1  -2.50558941958E-05   6.72983099521E-06
   8   4   1  -1.05204358823E-05   7.24353991849E-06
   1   5   1  -3.68138386287E-06   6.24665112865E-07
   2   5   1   1.22709820367E-05   4.19502888580E-06
   3   5   1   1.87895032429E-05   2.48815300710E-06
   4   5   1   1.87888990923E-05   2.48813781260E-06
   5   5   1   1.22713725212E-05   4.19503372876E-06
   6   5   1  -3.68099543011E-06   6.24672007569E-07
   7   5   1  -1.28451150045E-05  -7.30785374549E-06
   8   5   1  -1.28445088021E-05  -7.30784060273E-06
   1   6   1   4.05985860127E-05  -1.45237616657E-05
   2   6   1   3.64162446784E-05   9.33055431222E-06
   3   6   1   1.38355616144E-05   1.55666108771E-05
   4   6   1   1.84546998333E-05   1.58541896742E-05
   5   6   1   1.38362506012E-05   1.55666208367E-05
   6   6   1   3.64173645459E-05   9.33054227902E-06
   7   6   1   4.05992779011E-05  -1.45237546077E-05
   8   6   1   8.40208817268E-05  -3.66074470664E-05
   1   7   1  -1.01478123030E-03  -8.12914259546E-05
   2   7   1   2.20173304423E-04   1.95835726121E-05
   3   7   1   7.94552116793E-06   3.25611975821E-05
   4   7   1   1.64116923892E-05   2.98425110973E-05
   5   7   1   1.64110900519E-05   2.98425036981E-05
   6   7   1   7.94536126903E-06   3.25611991961E-05
   7   7   1   2.20173142472E-04   1.95835762779E-05
   8   7   1  -1.01478183468E-03  -8.12914313021E-05
   1   8   1  -3.28138945334E-02  -8.95838012376E-04
   2   8   1  -1.13452743967E-03   1.34902161872E-04
   3   8   1   2.52987031826E-05   7.50891104666E-05
   4   8   1   9.33265940617E-06   4.66826740577E-05
   5   8   1   4.96931650569E-06   3.96068973100E-05
   6   8   1   9.33315808061E-06   4.66826760130E-05
   7   8   1   2.52978909475E-05   7.50891097531E-05
   8   8   1  -1.13452693809E-03   1.34902160926E-04
   1   1   1   3
   1   1   1  -8.60812113197E-02   4.94710225989E-04
   2   1   1  -8.60812113658E-02   4.94710219808E-04
   3   1   1  -1.52447272759E-03   1.38251633837E-04
   4   1   1  -1.90006007330E-04   6.24657292973E-05
   5   1   1  -4.94661450279E-06   4.32836457528E-05
