  1    4   0  6.2464249  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
      0.000000000    1.395973545    0.000000000
      0.000000000    0.000000000    6.711099855
           1  'P  '    28230.8552091869     
    1    1      0.5000000000      1.2725434099      3.0363525217
    2    1      0.5000000000      0.1234301352      3.6747473333
    3    1      1.0000000000      0.8214168301      3.0363525203
    4    1      1.0000000000      0.5745567150      3.6747473347
 F
   8   6   1
   1   1   1   1
   1   1   1   2.53041528333E-01   0.00000000000E+00
   2   1   1  -1.30180773275E-02   0.00000000000E+00
   3   1   1  -7.59949166667E-04   0.00000000000E+00
   4   1   1  -2.87826725335E-05   0.00000000000E+00
   5   1   1  -3.76383333333E-05   0.00000000000E+00
   6   1   1  -2.87826725335E-05   0.00000000000E+00
   7   1   1  -7.59949166667E-04   0.00000000000E+00
   8   1   1  -1.30180773275E-02   0.00000000000E+00
   1   2   1  -1.17761750000E-03   0.00000000000E+00
   2   2   1   8.78821994982E-04   0.00000000000E+00
   3   2   1  -9.47016666667E-05   0.00000000000E+00
   4   2   1   5.00300501785E-06   0.00000000000E+00
   5   2   1   6.54083333333E-06   0.00000000000E+00
   6   2   1   5.00300501785E-06   0.00000000000E+00
   7   2   1  -9.47016666667E-05   0.00000000000E+00
   8   2   1   8.78821994982E-04   0.00000000000E+00
   1   3   1   2.52270833333E-05   0.00000000000E+00
   2   3   1   6.57172512586E-05   0.00000000000E+00
   3   3   1  -6.52629166667E-05   0.00000000000E+00
   4   3   1   1.32652487414E-05   0.00000000000E+00
   5   3   1  -6.52958333334E-06   0.00000000000E+00
   6   3   1   1.32652487414E-05   0.00000000000E+00
   7   3   1  -6.52629166667E-05   0.00000000000E+00
   8   3   1   6.57172512586E-05   0.00000000000E+00
   1   4   1   9.59000000000E-06   0.00000000000E+00
   2   4   1  -1.06941135709E-05   0.00000000000E+00
   3   4   1  -4.00416666666E-06   0.00000000000E+00
   4   4   1  -2.54588642906E-06   0.00000000000E+00
   5   4   1   5.35333333332E-06   0.00000000000E+00
   6   4   1  -2.54588642906E-06   0.00000000000E+00
   7   4   1  -4.00416666666E-06   0.00000000000E+00
   8   4   1  -1.06941135709E-05   0.00000000000E+00
   1   5   1   2.52270833333E-05   0.00000000000E+00
   2   5   1   6.57172512586E-05   0.00000000000E+00
   3   5   1  -6.52629166667E-05   0.00000000000E+00
   4   5   1   1.32652487414E-05   0.00000000000E+00
   5   5   1  -6.52958333334E-06   0.00000000000E+00
   6   5   1   1.32652487414E-05   0.00000000000E+00
   7   5   1  -6.52629166667E-05   0.00000000000E+00
   8   5   1   6.57172512586E-05   0.00000000000E+00
   1   6   1  -1.17761750000E-03   0.00000000000E+00
   2   6   1   8.78821994982E-04   0.00000000000E+00
   3   6   1  -9.47016666667E-05   0.00000000000E+00
   4   6   1   5.00300501785E-06   0.00000000000E+00
   5   6   1   6.54083333333E-06   0.00000000000E+00
   6   6   1   5.00300501785E-06   0.00000000000E+00
   7   6   1  -9.47016666667E-05   0.00000000000E+00
   8   6   1   8.78821994982E-04   0.00000000000E+00
   1   1   1   2
   1   1   1  -6.07654375000E-04   0.00000000000E+00
   2   1   1  -1.06842695666E-03   0.00000000000E+00
   3   1   1   3.75537291667E-04   0.00000000000E+00
   4   1   1  -1.43676266779E-05   0.00000000000E+00
   5   1   1   1.69939583333E-05   0.00000000000E+00
   6   1   1  -1.43676266779E-05   0.00000000000E+00
   7   1   1   3.75537291667E-04   0.00000000000E+00
