  2    3   0  8.7774652  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.145885287
           1  'I  '    115666.375825675     
           2  'Pb '    188851.246969807     
    1    1      0.5000000000      0.2886751346      2.9770044863
    2    2      0.5000000000      0.8660254038      2.5729426437
    3    1      0.0000000000      0.5773502692      2.1688808012
 T
          2.541772385973          0.000000000019          0.000000000000
          0.000000000019          2.541772385993          0.000000000000
          0.000000000000          0.000000000000          1.234966497738
    1
     -2.0130779      0.0000000      0.0000000
      0.0000000     -2.0130779      0.0000000
      0.0000000      0.0000000     -0.2079782
    2
      4.0261559     -0.0000000      0.0000000
     -0.0000000      4.0261559      0.0000000
      0.0000000      0.0000000      0.4159564
    3
     -2.0130779      0.0000000      0.0000000
      0.0000000     -2.0130779      0.0000000
      0.0000000      0.0000000     -0.2079782
   6   6   1
   1   1   1   1
   1   1   1   3.72583362947E-02
   2   1   1   1.41962697590E-03
   3   1   1  -1.01236047639E-04
   4   1   1  -8.87546595845E-05
   5   1   1  -1.01236047639E-04
   6   1   1   1.41962697590E-03
   1   2   1  -2.46710394322E-04
   2   2   1  -2.46710394444E-04
   3   2   1   3.31400793120E-04
   4   2   1   6.92507055499E-05
   5   2   1   6.92507055499E-05
   6   2   1   3.31400793125E-04
   1   3   1   3.39250394913E-05
   2   3   1  -2.14027274436E-04
   3   3   1   3.39250394606E-05
   4   3   1   5.73399094475E-05
   5   3   1   5.26764792854E-05
   6   3   1   5.73399094590E-05
   1   4   1   9.78043983395E-06
   2   4   1  -8.54173495142E-06
   3   4   1  -8.54173496289E-06
   4   4   1   9.78043981375E-06
   5   4   1  -8.54173496289E-06
   6   4   1  -8.54173495142E-06
   1   5   1   3.39250394913E-05
   2   5   1   5.73399094590E-05
   3   5   1   5.26764792854E-05
   4   5   1   5.73399094475E-05
   5   5   1   3.39250394606E-05
   6   5   1  -2.14027274436E-04
   1   6   1  -2.46710394322E-04
   2   6   1   3.31400793125E-04
   3   6   1   6.92507055499E-05
   4   6   1   6.92507055499E-05
   5   6   1   3.31400793120E-04
   6   6   1  -2.46710394444E-04
   1   1   1   2
   1   1   1   9.71187790339E-03
   2   1   1  -2.08740830257E-03
   3   1   1  -6.56269454091E-04
   4   1   1  -3.28470777837E-04
   5   1   1  -6.56269454406E-04
   6   1   1  -2.08740830223E-03
   1   2   1  -1.97117564328E-02
   2   2   1  -1.97117564324E-02
   3   2   1   5.58707486799E-04
   4   2   1   8.39997875985E-05
   5   2   1   8.39997879107E-05
   6   2   1   5.58707486810E-04
   1   3   1  -2.92543228060E-04
   2   3   1   6.30785967361E-04
   3   3   1  -2.92543228290E-04
   4   3   1   9.98574075824E-05
   5   3   1   7.69696217732E-05
   6   3   1   9.98574072628E-05
   1   4   1   4.26467303719E-05
   2   4   1  -1.78491063447E-04
   3   4   1  -1.78491063096E-04
   4   4   1   4.26467304129E-05
   5   4   1   1.26586876332E-04
   6   4   1   1.26586876628E-04
   1   5   1   1.37955875496E-04
   2   5   1  -1.47023413128E-04
   3   5   1  -2.09776777937E-04
   4   5   1  -1.47023413407E-04
   5   5   1   1.37955875849E-04
   6   5   1   2.34826809849E-04
   1   6   1   5.99521995737E-04
   2   6   1  -2.85977033625E-04
   3   6   1  -3.24373676670E-04
   4   6   1  -3.24373676353E-04
   5   6   1  -2.85977033589E-04
   6   6   1   5.99521995517E-04
   1   1   1   3
   1   1   1   5.05787715162E-03
   2   1   1   9.80339186452E-04
   3   1   1   2.97139978958E-04
   4   1   1   2.97140094623E-04
   5   1   1   9.80338354996E-04
   6   1   1   5.05787620441E-03
